run_index,sort_order,timestamp,elapsed_time[s],peak_mem_MB,CSLOW_MODE,Allow_BRAM,UseDSP48s,NUM_TERMS,NUM_COPIES,PAR_MODE,repl_index,Slices,Slice-FF,4-LUT,Bonded I/O,DSP48,BRAMs,Syn_minorClk_T,Syn_majorClk_T,Par_minorClk_T,Par_majorClk_T,Syn_minorClk_Freq,Syn_majorClk_Freq,Par_minorClk_Freq,Par_majorClk_Freq,Syn_selClk_T,Par_selClk_T,Syn_selClk_Freq,Par_selClk_Freq,Stream_Freq,Total_Throughput
1449,845,Sun Feb  9 03:37:13 2014,192.3585820198059,846.0,MANPIPE,NO,Auto,20,1,REPL,5,274,141,356,57,55,0,,1.4878100000000001e-07,,1.68804e-07,,6721288.336548349,,5924030.236250325,1.4878100000000001e-07,1.68804e-07,6721288.336548349,5924030.236250325,5924030.236250325,5924030.236250325
1450,855,Sun Feb  9 03:37:43 2014,194.60182404518127,851.0,MANPIPE,NO,Auto,20,2,VIRT,5,367,237,416,74,55,0,7.5836e-08,3.969e-09,8.8373e-08,3.73e-09,13186349.491006909,251952632.90501386,11315673.339142045,268096514.7453083,7.5836e-08,8.8373e-08,13186349.491006909,11315673.339142045,5657836.6695710225,11315673.339142045
1451,865,Sun Feb  9 03:39:13 2014,181.5991871356964,852.0,MANPIPE,NO,Auto,20,3,VIRT,5,527,369,493,74,55,0,5.0787000000000003e-08,4.154e-09,5.835e-08,4.191e-09,19690078.169610333,240731824.74723157,17137960.58269066,238606537.81913623,5.0787000000000003e-08,5.835e-08,19690078.169610333,17137960.58269066,5712653.527563553,17137960.58269066
1452,875,Sun Feb  9 03:39:58 2014,197.6554868221283,853.0,MANPIPE,NO,Auto,20,4,VIRT,5,592,468,560,74,55,0,3.941e-08,4.247e-09,4.3977e-08,3.5960000000000004e-09,25374270.48972342,235460324.9352484,22739159.105896264,278086763.07007784,3.941e-08,4.3977e-08,25374270.48972342,22739159.105896264,5684789.776474066,22739159.105896264
1453,885,Sun Feb  9 03:40:29 2014,188.1065661907196,856.0,MANPIPE,NO,Auto,20,5,VIRT,5,774,601,729,74,55,0,3.2026000000000005e-08,4.51e-09,3.8688e-08,4.7100000000000005e-09,31224629.988134637,221729490.02217293,25847808.10587262,212314225.05307853,3.2026000000000005e-08,3.8688e-08,31224629.988134637,25847808.10587262,5169561.621174524,25847808.10587262
1454,895,Sun Feb  9 03:41:13 2014,200.67276096343994,851.0,MANPIPE,NO,Auto,20,6,VIRT,5,814,698,762,74,55,0,2.8225000000000003e-08,4.6020000000000004e-09,3.5387000000000004e-08,4.158000000000001e-09,35429583.70239149,217296827.46631896,28258965.15669596,240500240.50024045,2.8225000000000003e-08,3.5387000000000004e-08,35429583.70239149,28258965.15669596,4709827.526115993,28258965.15669596
1455,905,Sun Feb  9 03:42:28 2014,199.0500259399414,860.0,MANPIPE,NO,Auto,20,7,VIRT,5,922,826,800,74,55,0,2.4232e-08,4.697000000000001e-09,2.8214e-08,5.404e-09,41267745.130406074,212901852.24611452,35443396.89515843,185048112.5092524,2.4232e-08,2.8214e-08,41267745.130406074,35443396.89515843,5063342.4135940615,35443396.89515843
1456,915,Sun Feb  9 03:43:28 2014,203.9643681049347,861.0,MANPIPE,NO,Auto,20,8,VIRT,5,1027,926,827,74,55,0,2.2797000000000002e-08,4.802e-09,2.9863e-08,5.157e-09,43865420.88871342,208246563.93169513,33486253.892777015,193911188.67558658,2.2797000000000002e-08,2.9863e-08,43865420.88871342,33486253.892777015,4185781.736597127,33486253.892777015
1457,925,Sun Feb  9 03:43:43 2014,208.61621189117432,862.0,MANPIPE,NO,Auto,20,9,VIRT,5,947,1041,842,74,55,0,2.0444e-08,5.070000000000001e-09,2.3284000000000002e-08,4.051e-09,48914106.828409314,197238658.7771203,42947947.088129185,246852628.98049864,2.0444e-08,2.3284000000000002e-08,48914106.828409314,42947947.088129185,4771994.120903242,42947947.088129185
1458,935,Sun Feb  9 03:44:13 2014,204.04827904701233,867.0,MANPIPE,NO,Auto,20,10,VIRT,5,1351,1354,1195,74,55,0,2.0423e-08,5.1630000000000005e-09,3.0303000000000003e-08,4.5240000000000005e-09,48964402.87910689,193685841.56498158,33000033.000032995,221043324.49160033,2.0423e-08,3.0303000000000003e-08,48964402.87910689,33000033.000032995,3300003.3000032995,33000033.000032995
1459,945,Sun Feb  9 03:46:00 2014,216.29630303382874,875.0,MANPIPE,NO,Auto,20,12,VIRT,5,1621,1827,1401,74,55,0,1.6475000000000004e-08,5.432000000000001e-09,2.0919e-08,3.923000000000001e-09,60698027.314112276,184094256.2592047,47803432.28643817,254906958.95997956,1.6475000000000004e-08,2.0919e-08,60698027.314112276,47803432.28643817,3983619.3572031804,47803432.28643817
1460,955,Sun Feb  9 03:46:15 2014,238.69605088233948,881.0,MANPIPE,NO,Auto,20,14,VIRT,5,2006,2359,1542,74,55,0,1.306e-08,5.7510000000000005e-09,1.6435e-08,4.096000000000001e-09,76569678.40735069,173882802.9907842,60845756.0085184,244140624.99999997,1.306e-08,1.6435e-08,76569678.40735069,60845756.0085184,4346125.429179885,60845756.0085184
1462,975,Sun Feb  9 03:47:45 2014,228.38801503181458,878.0,MANPIPE,NO,Auto,20,20,VIRT,5,2012,2272,1575,74,55,0,1.2044000000000002e-08,6.5980000000000006e-09,1.5507e-08,4.947e-09,83028894.05513117,151561079.11488327,64487005.86831753,202142712.75520515,1.2044000000000002e-08,1.5507e-08,83028894.05513117,64487005.86831753,3224350.2934158766,64487005.86831753
1461,965,Sun Feb  9 03:47:15 2014,246.12437796592712,884.0,MANPIPE,NO,Auto,20,16,VIRT,5,2208,2702,1677,74,55,0,1.3047000000000001e-08,5.962e-09,1.8072e-08,4.148e-09,76645972.25415803,167728950.0167729,55334218.68083222,241080038.57280615,1.3047000000000001e-08,1.8072e-08,76645972.25415803,55334218.68083222,3458388.667552014,55334218.68083222
1463,985,Sun Feb  9 03:49:15 2014,270.7309830188751,904.0,MANPIPE,NO,Auto,20,24,VIRT,5,3215,4067,2329,74,55,0,9.067000000000001e-09,6.803000000000001e-09,1.5347000000000002e-08,4.493000000000001e-09,110290062.86533582,146993973.24709687,65159314.5240112,222568439.79523697,9.067000000000001e-09,1.5347000000000002e-08,110290062.86533582,65159314.5240112,2714971.4385004668,65159314.5240112
1464,995,Sun Feb  9 03:50:30 2014,276.4406998157501,896.0,MANPIPE,NO,Auto,20,28,VIRT,5,2718,3128,2165,74,55,0,9.067000000000001e-09,7.190000000000001e-09,1.4754000000000001e-08,4.569e-09,110290062.86533582,139082058.4144645,67778229.63264199,218866272.7073758,9.067000000000001e-09,1.4754000000000001e-08,110290062.86533582,67778229.63264199,2420651.0583086424,67778229.63264199
1465,1005,Sun Feb  9 03:51:30 2014,251.22003293037415,892.0,MANPIPE,NO,Auto,20,32,VIRT,5,3161,3477,1870,74,55,0,8.895e-09,6.629e-09,1.5809e-08,5.6860000000000004e-09,112422709.38729624,150852315.5830442,63255107.84995889,175870559.26837847,8.895e-09,1.5809e-08,112422709.38729624,63255107.84995889,1976722.1203112153,63255107.84995889
1467,1025,Sun Feb  9 03:55:15 2014,200.07295489311218,852.0,MANPIPE,NO,Auto,24,1,VIRT,5,367,199,493,58,67,0,1.79123e-07,3.3060000000000004e-09,2.0796400000000002e-07,3.0310000000000004e-09,5582755.983318725,302480338.7779794,4808524.5523263635,329924117.45298576,1.79123e-07,2.0796400000000002e-07,5582755.983318725,4808524.5523263635,4808524.5523263635,4808524.5523263635
1468,1035,Sun Feb  9 03:55:45 2014,192.74962782859802,851.0,MANPIPE,NO,Auto,24,1,REPL,5,326,141,415,57,67,0,,1.7916e-07,,2.06719e-07,,5581603.036392052,,4837484.701454631,1.7916e-07,2.06719e-07,5581603.036392052,4837484.701454631,4837484.701454631,4837484.701454631
1466,1015,Sun Feb  9 03:54:00 2014,307.26587414741516,911.0,MANPIPE,NO,Auto,20,36,VIRT,5,3260,3851,2794,74,55,0,9.067000000000001e-09,5.791e-09,1.2068000000000001e-08,5.001e-09,110290062.86533582,172681747.5392851,82863771.95889956,199960007.9984003,9.067000000000001e-09,1.2068000000000001e-08,110290062.86533582,82863771.95889956,2301771.4433027655,82863771.95889956
